Paesi,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
GEORGIA,85.0,117.0,313.0,317.0,384.0,387.0,302.0,298.0,313.0,368.0,560.0,983.0,1052.0,1290.0,1500.0,2032.0,2712.0,4106.0,4954.0,5004.0,5256.0,5393.0,6483.0,7203.0,7726.0,1513.0
GERMANY,,,,,,,,,,,,,,,,,,,,,,,,,,
GHANA,,,,,,,,,,,,,,,,,,,,,,,,,,
GREECE,10712.0,9782.0,10588.0,11364.0,12606.0,13567.0,14678.0,14918.0,14785.0,14268.0,15938.0,17284.0,,,,,,,20112.0,24272.0,26114.0,28071.0,30161.0,33072.0,34005.0,7406.0
GRENADA,369.0,386.0,368.0,392.0,379.0,316.0,277.0,271.0,294.0,370.0,380.0,342.0,406.0,428.0,460.0,445.0,447.0,370.0,327.0,387.0,437.0,474.0,468.0,529.0,526.0,217.0
GUADELOUPE,1059.0,1236.0,1130.0,914.0,854.0,994.0,759.0,,569.0,560.0,445.0,447.0,500.0,527.0,458.0,497.0,419.0,487.0,645.0,720.0,822.0,857.0,970.0,1166.0,,
GUAM,,,,,,,,,,,,,,,,,,,,,,,,,,
GUATEMALA,563.0,520.0,576.0,636.0,823.0,826.0,835.0,884.0,880.0,1182.0,1316.0,1502.0,1628.0,1715.0,1311.0,1384.0,1434.0,1491.0,1516.0,1739.0,1865.0,1906.0,2120.0,2406.0,2560.0,594.0
GUINEA,,,,,,,,,,,,46.6,,,,,,,,,,,,,,
GUINEA-BISSAU,,,,,,,,,,,,,,,,,,,,,,,,,,
GUYANA,,,,,,,,,,,,,,,,,,,,,,,,,,86.5
HAITI,370.0,400.0,387.0,393.0,386.0,445.0,499.0,482.0,518.0,385.0,480.0,558.0,868.0,758.0,826.0,793.0,946.0,959.0,1064.0,1127.6,1190.0,1153.0,1262.0,1333.0,938.0,322.0
HONDURAS,,271.0,310.0,324.0,428.0,689.0,672.0,788.0,887.0,1026.0,1118.0,1136.0,1309.0,1561.0,1589.0,1965.0,1852.0,1903.0,1857.0,2082.0,2093.0,2228.0,2144.0,2323.0,2315.0,669.0
"HONG KONG, CHINA",10200.0,12974.0,11273.0,10160.0,11328.0,13059.0,13725.0,16566.0,15537.0,21811.0,23359.0,25251.0,28169.0,29507.0,29591.0,36030.0,41921.0,48615.0,54299.0,60839.0,59308.0,56655.0,58472.0,65148.0,55913.0,3569.0
