ConferenceLocation,Country,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,TTCI,EE,TTPEC,INF,NCR,BE,SS,HH,HRLM,ICTR,PTT,IO,PC,ES,ATI,GPI,TSI,NR,CRBT
"Loja, Ecuador",Ecuador,440.0,494.0,529.0,511.0,518.0,627.0,641.0,683.0,761.0,819.0,860.0,841.0,937.0,1005.0,968.0,1047.0,1141.0,1272.0,1364.0,1695.0,1676.0,1569.0,1806.0,2535.0,2108.0,507.0,3.9,4.6,4.6,3.3,3.0,3.8,5.2,5.2,4.3,4.3,4.5,4.0,5.5,4.3,2.4,3.5,4.0,4.2,1.8
"Cartago, Costa Rica",Costa Rica,924.0,940.0,1013.0,1167.0,1267.0,1278.0,1320.0,1335.0,1514.0,1771.0,1959.0,2071.0,2302.0,2409.0,2309.0,2495.0,2526.0,2542.0,2641.0,2760.0,2899.0,3204.0,3231.0,3313.0,3366.0,1146.5,4.3,5.1,4.9,3.8,3.2,4.5,5.4,5.1,4.9,5.6,5.6,4.3,5.1,4.9,3.1,3.0,5.4,4.9,1.6
"Caracas, Capital District, Venezuela",Venezuela,879.0,960.0,933.0,813.0,702.0,602.0,792.0,590.0,435.0,618.0,846.0,883.0,898.0,702.0,567.0,535.0,625.0,1061.0,1085.0,967.0,882.0,681.0,429.0,,,,3.1,3.6,3.6,2.3,3.1,2.4,3.3,5.1,3.6,3.6,3.4,2.2,5.1,3.7,1.8,2.0,3.0,4.1,2.1
"Tatarstan, Russia",Russia,10290.0,16208.0,17463.0,16188.0,18820.0,21169.0,21595.0,23309.0,22521.0,22064.0,22201.0,22486.0,22909.0,23676.0,21339.0,22281.0,24932.0,28177.0,30792.0,32421.0,33729.0,24571.0,24390.0,24551.0,24419.0,6359.0,4.3,5.3,4.2,4.0,3.8,4.3,5.1,6.7,5.0,5.3,4.4,2.2,5.8,4.2,4.6,3.3,4.1,3.8,3.7
"Mérida, Merida State, Venezuela",Venezuela,879.0,960.0,933.0,813.0,702.0,602.0,792.0,590.0,435.0,618.0,846.0,883.0,898.0,702.0,567.0,535.0,625.0,1061.0,1085.0,967.0,882.0,681.0,429.0,,,,3.1,3.6,3.6,2.3,3.1,2.4,3.3,5.1,3.6,3.6,3.4,2.2,5.1,3.7,1.8,2.0,3.0,4.1,2.1
"Suva, Central, Fiji",Fiji,476.0,534.0,547.0,499.0,544.0,434.0,446.0,461.0,451.0,513.0,547.0,,542.0,627.0,605.0,692.0,734.0,741.0,769.0,781.0,869.0,963.0,1027.0,1058.0,969.0,168.0,,,,,,,,,,,,,,,,,,,
"Otsu, Japan",Japan,3345.0,3837.0,4218.0,4106.0,4438.0,4757.0,4772.0,5239.0,5212.0,6138.0,6728.0,7334.0,8347.0,8351.0,6790.0,8611.0,6219.0,8358.0,10364.0,13413.0,19737.0,24039.0,28691.0,31191.0,31881.0,4115.8,5.4,5.9,4.8,5.5,5.3,5.4,6.2,6.4,5.3,6.2,5.3,4.6,4.8,4.4,4.8,6.0,5.7,4.1,6.5
"Abingdon, England, United Kingdom",United Kingdom,23537.0,25163.0,25515.0,25745.0,25394.0,25209.0,22835.0,24180.0,24715.0,27755.0,29970.0,32713.0,32778.0,31888.0,31072.0,30398.0,31886.0,32221.0,33567.0,35337.0,36792.0,39129.0,41080.0,40283.0,40857.0,11101.0,5.2,5.8,4.4,5.6,5.0,5.8,5.8,5.8,5.5,6.2,4.9,4.2,3.2,5.2,5.2,5.4,6.1,4.4,5.6
"Cedillo, Extremadura, Spain",Spain,52460.0,55077.0,62415.0,68068.0,72040.0,74580.0,75564.0,79313.0,82326.0,85981.0,92563.0,96152.0,98907.0,97670.0,91899.0,93744.0,99187.0,98128.0,103231.0,107144.0,109834.0,115561.0,121717.0,124456.0,126170.0,36410.0,5.4,5.5,4.9,5.6,5.7,4.5,6.1,6.2,4.9,5.8,5.9,3.9,5.0,4.7,5.0,5.2,6.6,4.8,6.7
"Huludao City, Liaoning, China",China,46387.0,51128.0,57588.0,63478.0,72796.0,83444.0,89013.0,97908.0,91662.0,109038.0,120292.0,124942.0,131873.0,130027.0,126476.0,133762.0,135423.0,132405.0,129078.0,128499.0,133820.0,141774.0,153260.0,158606.0,162538.0,30402.0,4.9,5.2,4.3,3.9,6.1,4.7,5.6,5.6,5.2,5.0,4.8,3.1,5.7,3.8,4.3,3.9,3.5,5.1,7.0
"Suhl, Thuringia, Germany",Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4,6.0,4.8,5.5,5.3,5.4,5.8,7.0,5.7,6.0,5.0,4.3,4.6,5.3,4.9,5.7,5.9,4.1,6.5
"Scranton, Pennsylvania, United States",United States,79732.0,82756.0,82525.0,74767.0,75796.0,78343.0,70975.0,64434.0,62082.0,67606.0,71484.0,183178.0,175299.0,175703.0,160508.0,162275.0,147271.416,171629.897,179309.907,178311.354,176864.526,175261.488,174291.74599999998,169324.918,165478.0,45037.0,5.3,5.8,4.6,5.8,4.9,5.8,5.6,5.8,5.8,6.0,5.5,4.0,4.7,4.1,5.9,4.9,6.6,5.0,4.7
"Barguna Sadar Subdistrict, Barisal Division, Bangladesh",Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,4.2,3.8,2.5,2.0,4.2,4.9,4.5,3.8,3.4,3.6,2.5,5.3,3.8,2.0,3.5,1.9,2.3,1.6
