url,Citazioni
conf/afips/ncc83,79
conf/afips/ncc84,71
conf/afp/afp1995,213
conf/afp/afp1996,85
conf/afp/afp1998,60
conf/afp/afp2002,109
conf/afp/afp2004,61
conf/afp/afp2008,109
conf/afpac/afpac2000,91
conf/africacrypt/africacrypt2008,309
conf/africacrypt/africacrypt2009,358
conf/africacrypt/africacrypt2010,242
conf/africacrypt/africacrypt2011,229
conf/africacrypt/africacrypt2012,200
conf/africacrypt/africacrypt2013,139
conf/africacrypt/africacrypt2014,243
conf/africacrypt/africacrypt2016,98
conf/africacrypt/africacrypt2017,36
conf/africacrypt/africacrypt2018,53
conf/africacrypt/africacrypt2019,18
conf/africacrypt/africacrypt2020,1
conf/africatek/africatek2017,7
conf/africhi/africhi2016,103
conf/africhi/africhi2018,50
conf/africom/africom2017,11
conf/africom/africomm2012,35
conf/africom/africomm2013,16
conf/africom/africomm2014,20
conf/africom/africomm2015,7
conf/africom/africomm2016,10
conf/afrigraph/afrigraph2001,69
conf/afrigraph/afrigraph2003,103
conf/afrigraph/afrigraph2004,165
conf/afrigraph/afrigraph2006,97
conf/afrigraph/afrigraph2007,67
conf/afrigraph/afrigraph2009,59
conf/afrigraph/afrigraph2010,41
conf/afss/afss2002,224
conf/aft/aft2019,22
conf/agentCL/acl2003,225
conf/agentCL/agentCL2000,287
conf/agentlink/agentlink2001,293
conf/agentlink/agentlink2003,129
conf/agents/agents2000,1111
conf/agents/agents2001,2143
conf/agents/agents97,1668
conf/agents/agents98,1536
conf/agents/agents99,1350
conf/agents/agentsw2000,168
conf/agents/trust2000,351
conf/agere/agere2012,60
conf/agere/agere2013,28
conf/agere/agere2014,76
conf/agere/agere2015,13
conf/agere/agere2016,31
conf/agere/agere2017,12
conf/agere/agere2018,4
conf/agere/agere2019,2
conf/agi/agi2011,238
conf/agi/agi2012,92
conf/agi/agi2013,37
conf/agi/agi2014,58
conf/agi/agi2015,83
conf/agi/agi2016,58
conf/agi/agi2017,26
conf/agi/agi2018,30
conf/agi/agi2019,12
conf/agi/agi2020,3
conf/agile/agile2007,125
conf/agile/agile2008,60
conf/agile/agile2009,107
conf/agile/agile2010,103
conf/agile/agile2011,147
conf/agile/agile2012,37
conf/agile/agile2013,56
conf/agile/agile2014,39
conf/agile/agile2015,41
conf/agile/agile2016,50
conf/agile/agile2017,37
conf/agile/agile2018,25
conf/agile/agile2019,7
conf/agop/agop2013,40
conf/agop/agop2017,9
conf/agop/agop2019,4
conf/ags/ags2009,32
conf/ags/ags2010,52
conf/agtive/agtive1999,180
conf/agtive/agtive2003,346
conf/agtive/agtive2007,183
conf/agtive/agtive2011,67
conf/ah/ah2000,368
conf/ah/ah2004,492
conf/ah/ah2006,323
conf/ah/ah2008,284
conf/ai/ai1998,86
conf/ai/ai2000,135
conf/ai/ai2001,238
conf/ai/ai2002,158
conf/ai/ai2003,287
conf/ai/ai2004,140
conf/ai/ai2005,141
conf/ai/ai2006,109
conf/ai/ai2007,89
conf/ai/ai2008,147
conf/ai/ai2009,103
conf/ai/ai2010,158
conf/ai/ai2011,146
conf/ai/ai2012,166
conf/ai/ai2013,44
conf/ai/ai2014,110
conf/ai/ai2015,53
conf/ai/ai2016,60
conf/ai/ai2017,31
conf/ai/ai2018,26
conf/ai/ai2019,19
conf/ai/ai2020,4
conf/ai/ai96,65
conf/ai50/ai502006,178
conf/aiam/aiam2019,7
conf/aiccc/aiccc2018,11
conf/aici/aici2009,92
conf/aici/aici2010-1,62
conf/aici/aici2010-2,89
conf/aici/aici2011-1,84
conf/aici/aici2011-2,71
conf/aici/aici2011-3,59
conf/aici/aici2012,63
conf/aicol/aicol2011,27
conf/aicol/aicol2013,27
conf/aicol/aicol2017,25
conf/aics/aics2009,116
conf/aicv/aicv1993,164
conf/aicv2/aicv2020,50
conf/aid/aid1998,117
conf/aid/aid2000,94
conf/aid/aid2002,109
conf/aidr/aidr2019,2
conf/aied/aied1993,12
conf/aied/aied2009,13
conf/aied/aied2011,537
conf/aied/aied2013,716
conf/aied/aied2015,400
conf/aied/aied2017,189
conf/aied/aied2018-1,105
conf/aied/aied2018-2,132
conf/aied/aied2019-1,61
conf/aied/aied2019-2,41
conf/aied/aied2020-1,10
conf/aied/aied2020-2,1
conf/aies/aies2018,160
conf/aies/aies2019,183
conf/aies/aies2020,32
conf/aihc/aihc2007,287
conf/aii/aii1985,44
conf/aii/aii86,28
conf/aii/aii89,177
conf/aii/aii92,55
conf/aiia/aiia1991,59
conf/aiia/aiia1993,47
conf/aiia/aiia1995,71
conf/aiia/aiia1997,80
conf/aiia/aiia1999,111
conf/aiia/aiia2003,107
conf/aiia/aiia2005,106
conf/aiia/aiia2007,153
conf/aiia/aiia2009,103
conf/aiia/aiia2011,105
conf/aiia/aiia2013,95
conf/aiia/aiia2015,38
conf/aiia/aiia2016,94
conf/aiia/aiia2017,45
conf/aiia/aiia2018,42
conf/aiia/aiia2019,14
conf/aiia/dart2011r,21
conf/aiia/dart2014,10
conf/aiipcc/aiipcc2019,5
conf/aimdm/aimdm1999,157
conf/aiml/aiml2000,63
conf/aims/aims2012,71
conf/aims/aims2013,48
conf/aims/aims2014,79
conf/aims/aims2015,23
conf/aims/aims2016,21
conf/aims/aims2017,28
conf/aims2/aims2018,11
conf/aims2/aims2019,2
